County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1977,3.0,0,0,1.0,0,1.0,23.0,2.0,30.0
Broward1977,0.0,0,1,1.0,0,0.0,2.0,0.0,4.0
Charlotte1977,0.0,0,0,0.0,0,0.0,2.0,2.0,4.0
Citrus1977,0.0,0,1,0.0,0,0.0,3.0,0.0,4.0
Clay1977,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Collier1977,0.0,0,0,0.0,0,0.0,2.0,1.0,3.0
Duval1977,1.0,0,0,1.0,0,0.0,9.0,0.0,11.0
Glades1977,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Hillsborough1977,0.0,0,0,0.0,0,0.0,3.0,0.0,3.0
Indian River1977,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Lee1977,2.0,0,0,2.0,0,0.0,5.0,2.0,11.0
Levy1977,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Martin1977,0.0,0,0,0.0,0,0.0,1.0,1.0,2.0
Miami-Dade1977,1.0,5,2,2.0,0,0.0,2.0,0.0,12.0
Monroe1977,0.0,0,0,0.0,0,0.0,3.0,1.0,4.0
Palm Beach1977,4.0,0,0,0.0,0,0.0,1.0,2.0,7.0
Putnam1977,0.0,1,0,0.0,0,0.0,2.0,1.0,4.0
Sarasota1977,0.0,0,0,1.0,0,0.0,0.0,1.0,2.0
St. Johns1977,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
St. Lucie1977,0.0,0,0,0.0,0,0.0,2.0,1.0,3.0
Volusia1977,1.0,0,1,0.0,0,0.0,0.0,1.0,3.0
TOTAL:1977,13.0,6,5,9.0,0,1.0,65.0,16.0,115.0
