County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2008,10.0,0,0,33.0,9,7.0,13.0,0.0,72.0
Broward2008,3.0,0,0,3.0,1,0.0,3.0,0.0,10.0
Charlotte2008,3.0,0,0,5.0,0,2.0,0.0,0.0,10.0
Citrus2008,8.0,0,0,6.0,0,5.0,3.0,0.0,22.0
Clay2008,0.0,0,0,3.0,1,1.0,2.0,0.0,7.0
Collier2008,6.0,0,0,3.0,1,2.0,5.0,0.0,17.0
Dixie2008,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Duval2008,11.0,0,0,0.0,2,0.0,1.0,0.0,14.0
Escambia2008,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Flagler2008,1.0,0,0,2.0,0,1.0,2.0,0.0,6.0
Franklin2008,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Glades2008,0.0,1,0,0.0,0,0.0,1.0,0.0,2.0
Hillsborough2008,1.0,0,1,6.0,1,0.0,3.0,0.0,12.0
Indian River2008,2.0,0,0,7.0,0,0.0,3.0,0.0,12.0
Lake2008,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Lee2008,14.0,0,1,7.0,5,4.0,13.0,1.0,45.0
Levy2008,0.0,0,0,1.0,0,0.0,1.0,2.0,4.0
Manatee2008,1.0,0,1,2.0,0,1.0,2.0,0.0,7.0
Martin2008,1.0,1,0,1.0,0,1.0,0.0,0.0,4.0
Miami-Dade2008,2.0,1,1,0.0,0,1.0,4.0,0.0,9.0
Monroe2008,2.0,0,0,0.0,0,2.0,1.0,2.0,7.0
Okeechobee2008,0.0,0,1,0.0,0,0.0,0.0,0.0,1.0
Palm Beach2008,6.0,0,0,0.0,2,0.0,0.0,0.0,8.0
Pasco2008,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Pinellas2008,7.0,0,0,3.0,0,1.0,2.0,1.0,14.0
Putnam2008,0.0,0,0,0.0,1,1.0,3.0,0.0,5.0
Sarasota2008,2.0,0,0,3.0,0,1.0,2.0,0.0,8.0
Seminole2008,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
St. Johns2008,0.0,0,0,0.0,1,0.0,2.0,0.0,3.0
St. Lucie2008,2.0,0,0,1.0,0,3.0,0.0,0.0,6.0
Volusia2008,7.0,0,1,12.0,1,1.0,3.0,1.0,26.0
TOTAL:2008,90.0,3,6,101.0,27,34.0,69.0,7.0,337.0
