County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Not,Total
Bay2020,0.0,0,0,0.0,0,0.0,0.0,3,3.0
Brevard2020,14.0,0,9,35.0,17,15.0,26.0,57,173.0
Broward2020,2.0,0,0,1.0,1,4.0,5.0,7,20.0
Charlotte2020,2.0,0,0,1.0,0,1.0,3.0,10,17.0
Citrus2020,3.0,0,0,4.0,1,0.0,2.0,5,15.0
Clay2020,0.0,0,0,2.0,0,0.0,0.0,0,2.0
Collier2020,1.0,0,0,5.0,1,1.0,2.0,4,14.0
Dixie2020,0.0,0,0,1.0,0,0.0,0.0,0,1.0
Duval2020,0.0,1,1,1.0,2,0.0,1.0,3,9.0
Flagler2020,1.0,0,0,1.0,1,0.0,1.0,0,4.0
Franklin2020,0.0,0,0,1.0,0,0.0,0.0,5,6.0
Gilchrist2020,0.0,0,0,1.0,0,0.0,0.0,0,1.0
Glades2020,0.0,1,0,0.0,0,0.0,0.0,2,3.0
Hendry2020,0.0,1,0,1.0,0,0.0,0.0,0,2.0
Hillsborough2020,9.0,0,0,4.0,0,1.0,2.0,5,21.0
Indian River2020,2.0,0,0,1.0,3,1.0,2.0,10,19.0
Lake2020,1.0,0,0,1.0,0,0.0,3.0,0,5.0
Lee2020,7.0,0,1,18.0,2,14.0,8.0,18,68.0
Manatee2020,8.0,0,0,4.0,1,2.0,3.0,7,25.0
Marion2020,2.0,0,0,1.0,2,2.0,1.0,1,9.0
Martin2020,4.0,3,0,3.0,4,0.0,1.0,8,23.0
Miami-Dade2020,2.0,1,1,3.0,2,3.0,4.0,9,25.0
Monroe2020,5.0,0,1,4.0,0,1.0,4.0,18,33.0
Nassau2020,0.0,0,0,0.0,0,0.0,1.0,0,1.0
Okaloosa2020,1.0,0,0,0.0,0,0.0,0.0,0,1.0
Okeechobee2020,2.0,1,0,0.0,0,0.0,0.0,2,5.0
Palm Beach2020,6.0,0,0,2.0,2,0.0,3.0,4,17.0
Pasco2020,1.0,0,1,0.0,0,0.0,0.0,2,4.0
Pinellas2020,6.0,0,0,5.0,0,2.0,7.0,2,22.0
Putnam2020,1.0,0,0,2.0,1,0.0,3.0,4,11.0
Santa Rosa2020,0.0,0,0,0.0,0,0.0,0.0,1,1.0
Sarasota2020,1.0,0,0,3.0,0,1.0,0.0,1,6.0
Seminole2020,0.0,0,0,2.0,0,0.0,0.0,0,2.0
St. Johns2020,1.0,0,0,0.0,2,1.0,0.0,5,9.0
St. Lucie2020,3.0,3,0,0.0,4,1.0,1.0,3,15.0
Taylor2020,1.0,0,0,0.0,0,0.0,1.0,0,2.0
Volusia2020,4.0,0,2,6.0,3,3.0,7.0,15,40.0
Wakulla2020,0.0,0,0,1.0,0,0.0,0.0,1,2.0
Walton2020,0.0,0,0,0.0,0,0.0,0.0,1,1.0
TOTAL:2020,90.0,11,16,114.0,49,53.0,91.0,213,637.0
