County/Year,Watercraft,Other/Human,Perinatal,Cold Stress,Natural,Total,Not Necropsied,Flood Gate/Canal Lock,Unrecovered/Undetermined
Brevard1974,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Broward1974,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Citrus1974,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Indian River1974,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Miami-Dade1974,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Volusia1974,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TOTAL:1974,3.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0
Brevard1975,1.0,1.0,5.0,0.0,1.0,14.0,0.0,0.0,6.0
Broward1975,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Charlotte1975,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Clay1975,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Lee1975,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Levy1975,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Martin1975,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Miami-Dade1975,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0
Volusia1975,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
TOTAL:1975,6.0,1.0,7.0,0.0,1.0,29.0,0.0,1.0,13.0
Brevard1976,1.0,0.0,6.0,0.0,0.0,15.0,0.0,0.0,8.0
Broward1976,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Charlotte1976,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Citrus1976,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Collier1976,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Dixie1976,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Duval1976,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0
Flagler1976,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Glades1976,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Indian River1976,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Lee1976,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0
Levy1976,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Manatee1976,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Martin1976,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Miami-Dade1976,2.0,0.0,0.0,0.0,1.0,15.0,0.0,4.0,8.0
Palm Beach1976,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pinellas1976,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Putnam1976,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Sarasota1976,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
St. Johns1976,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Volusia1976,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
TOTAL:1976,10.0,0.0,14.0,0.0,2.0,62.0,0.0,4.0,32.0
Brevard1977,3.0,0.0,1.0,0.0,1.0,30.0,0.0,0.0,25.0
Broward1977,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0
Charlotte1977,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
Citrus1977,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0
Clay1977,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Collier1977,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Duval1977,1.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,9.0
Glades1977,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Hillsborough1977,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Indian River1977,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Lee1977,2.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,7.0
Levy1977,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Martin1977,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Miami-Dade1977,1.0,2.0,2.0,0.0,0.0,12.0,0.0,5.0,2.0
Monroe1977,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
Palm Beach1977,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0
Putnam1977,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0
Sarasota1977,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
St. Johns1977,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
St. Lucie1977,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Volusia1977,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
TOTAL:1977,13.0,5.0,9.0,0.0,1.0,115.0,0.0,6.0,81.0
Brevard1978,4.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0
Broward1978,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Citrus1978,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Clay1978,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Collier1978,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Duval1978,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0
Glades1978,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0
Hillsborough1978,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0
Lake1978,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Lee1978,2.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,5.0
Levy1978,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Manatee1978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Martin1978,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Miami-Dade1978,2.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,2.0
Monroe1978,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
Okeechobee1978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Palm Beach1978,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
Pinellas1978,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Putnam1978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
