County/Year,Watercraft,Other/Human,Perinatal,Cold Stress,Natural,Total,Not Necropsied,Flood Gate/Canal Lock,Unrecovered/Undetermined
TOTAL:1974,3.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0
TOTAL:1975,6.0,1.0,7.0,0.0,1.0,29.0,0.0,1.0,13.0
TOTAL:1976,10.0,0.0,14.0,0.0,2.0,62.0,0.0,4.0,32.0
TOTAL:1977,13.0,5.0,9.0,0.0,1.0,115.0,0.0,6.0,81.0
TOTAL:1978,21.0,1.0,10.0,0.0,3.0,84.0,0.0,9.0,40.0
TOTAL:1979,24.0,9.0,9.0,0.0,4.0,77.0,0.0,8.0,23.0
TOTAL:1980,16.0,2.0,13.0,0.0,5.0,63.0,0.0,8.0,19.0
TOTAL:1981,24.0,4.0,13.0,1.0,8.0,116.0,0.0,2.0,64.0
TOTAL:1982,20.0,1.0,14.0,0.0,41.0,114.0,0.0,3.0,35.0
TOTAL:1983,15.0,5.0,18.0,0.0,6.0,81.0,0.0,7.0,30.0
TOTAL:1984,34.0,1.0,25.0,20.0,4.0,128.0,0.0,3.0,41.0
TOTAL:1985,34.0,2.0,23.0,9.0,10.0,119.0,0.0,3.0,38.0
TOTAL:1986,33.0,1.0,27.0,12.0,1.0,122.0,0.0,3.0,45.0
TOTAL:1987,39.0,2.0,30.0,6.0,10.0,113.0,0.0,5.0,21.0
TOTAL:1988,43.0,4.0,30.0,9.0,15.0,134.0,0.0,7.0,26.0
TOTAL:1989,50.0,5.0,38.0,14.0,18.0,168.0,0.0,3.0,40.0
TOTAL:1990,47.0,4.0,44.0,46.0,21.0,206.0,0.0,3.0,41.0
TOTAL:1991,53.0,6.0,53.0,1.0,13.0,174.0,0.0,9.0,39.0
TOTAL:1992,38.0,6.0,48.0,0.0,20.0,163.0,0.0,5.0,46.0
TOTAL:1993,35.0,6.0,39.0,2.0,22.0,145.0,0.0,5.0,36.0
TOTAL:1994,49.0,5.0,46.0,4.0,33.0,193.0,0.0,16.0,40.0
TOTAL:1995,42.0,5.0,56.0,0.0,35.0,201.0,0.0,8.0,55.0
TOTAL:1996,60.0,0.0,61.0,17.0,101.0,415.0,0.0,10.0,166.0
TOTAL:1997,54.0,8.0,61.0,4.0,42.0,242.0,0.0,8.0,65.0
TOTAL:1998,66.0,6.0,53.0,10.0,13.0,232.0,0.0,9.0,75.0
TOTAL:1999,82.0,8.0,54.0,5.0,37.0,269.0,0.0,15.0,68.0
TOTAL:2000,78.0,8.0,59.0,14.0,37.0,272.0,0.0,8.0,68.0
TOTAL:2001,81.0,8.0,61.0,31.0,35.0,325.0,0.0,1.0,108.0
TOTAL:2002,95.0,9.0,53.0,17.0,59.0,305.0,0.0,5.0,67.0
TOTAL:2003,73.0,7.0,71.0,47.0,102.0,380.0,0.0,3.0,77.0
TOTAL:2004,69.0,5.0,71.0,50.0,22.0,276.0,0.0,3.0,56.0
TOTAL:2005,79.0,8.0,89.0,31.0,88.0,396.0,0.0,6.0,95.0
TOTAL:2006,92.0,6.0,70.0,22.0,80.0,417.0,0.0,3.0,144.0
TOTAL:2007,73.0,5.0,59.0,18.0,82.0,317.0,0.0,2.0,78.0
TOTAL:2008,90.0,6.0,101.0,27.0,34.0,337.0,0.0,3.0,76.0
TOTAL:2009,97.0,7.0,114.0,56.0,37.0,429.0,0.0,5.0,113.0
TOTAL:2010,83.0,5.0,97.0,282.0,23.0,766.0,0.0,1.0,275.0
TOTAL:2011,88.0,4.0,78.0,114.0,40.0,453.0,0.0,2.0,127.0
TOTAL:2012,82.0,8.0,70.0,30.0,58.0,392.0,0.0,12.0,132.0
TOTAL:2013,73.0,12.0,129.0,40.0,197.0,830.0,0.0,5.0,374.0
TOTAL:2014,69.0,9.0,100.0,26.0,29.0,371.0,0.0,3.0,135.0
TOTAL:2015,86.0,11.0,91.0,18.0,44.0,405.0,0.0,5.0,150.0
TOTAL:2016,106.0,6.0,113.0,24.0,86.0,520.0,0.0,2.0,183.0
TOTAL:2017,111.0,15.0,117.0,30.0,93.0,538.0,0.0,3.0,169.0
TOTAL:2018,124.0,21.0,113.0,85.0,233.0,824.0,0.0,6.0,242.0
TOTAL:2019,137.0,9.0,71.0,64.0,79.0,607.0,0.0,5.0,242.0
TOTAL:2020,90.0,16.0,114.0,49.0,53.0,637.0,213.0,11.0,91.0
